drugbank_id,drugname,drug_type,target,approved,experimental,illicit,investigational,nutraceutical,withdrawn
DB00028,Human immunoglobulin G,biotech,"['BE0000710', 'BE0004684', 'BE0002098', 'BE0002099', 'BE0002100', 'BE0002097', 'BE0000901', 'BE0003455', 'BE0004685', 'BE0004686', 'BE0000855']",1,0,0,1,0,0
DB00029,Anistreplase,biotech,"['BE0000211', 'BE0000538', 'BE0000240']",1,0,0,0,0,0
DB00030,Insulin human,biotech,"['BE0000033', 'BE0000858', 'BE0002123', 'BE0001123']",1,0,0,1,0,0
DB00031,Tenecteplase,biotech,"['BE0000211', 'BE0000538', 'BE0000717', 'BE0000240', 'BE0000969', 'BE0002104', 'BE0002105', 'BE0001170', 'BE0002109', 'BE0001011', 'BE0002110']",1,0,0,0,0,0
DB00032,Menotropins,biotech,"['BE0000387', 'BE0000134']",1,0,0,0,0,0
DB00033,Interferon gamma-1b,biotech,"['BE0000711', 'BE0000467']",1,0,0,1,0,0
DB00034,"Interferon alfa-2a, Recombinant",biotech,"['BE0000661', 'BE0000385']",1,0,0,1,0,0
DB00035,Desmopressin,small molecule,"['BE0000293', 'BE0000165', 'BE0000773']",1,0,0,0,0,0
DB00036,Coagulation factor VIIa Recombinant Human,biotech,"['BE0000216', 'BE0000967', 'BE0000403', 'BE0000333', 'BE0001178']",1,0,0,0,0,0
DB00038,Oprelvekin,biotech,['BE0000416'],1,0,0,1,0,0
DB00039,Palifermin,biotech,"['BE0000748', 'BE0002129', 'BE0002131', 'BE0001203', 'BE0002133', 'BE0001031']",1,0,0,0,0,0
DB00040,Glucagon,biotech,"['BE0000527', 'BE0002134', 'BE0000857']",1,0,0,0,0,0
DB00041,Aldesleukin,biotech,"['BE0000651', 'BE0000658', 'BE0002102']",1,0,0,0,0,0
DB00042,Botulinum Toxin Type B,biotech,"['BE0002137', 'BE0002136', 'BE0002138']",1,0,0,1,0,0
DB00043,Omalizumab,biotech,"['BE0000015', 'BE0002139']",1,0,0,1,0,0
DB00044,Lutropin alfa,biotech,['BE0000134'],1,0,0,0,0,0
DB00045,Lyme disease vaccine (recombinant OspA),biotech,['BE0001164'],1,0,0,0,0,1
DB00046,Insulin lispro,biotech,"['BE0000033', 'BE0000858']",1,0,0,0,0,0
DB00047,Insulin glargine,biotech,"['BE0000033', 'BE0000858']",1,0,0,0,0,0
DB00048,Collagenase clostridium histolyticum,biotech,"['BE0000025', 'BE0002140', 'BE0002130', 'BE0002141']",1,0,0,1,0,0
DB00050,Cetrorelix,small molecule,"['BE0000203', 'BE0000134']",1,0,0,1,0,0
DB00051,Adalimumab,biotech,['BE0000704'],1,0,0,0,0,0
DB00052,Somatotropin,biotech,"['BE0000075', 'BE0000345']",1,0,0,1,0,0
DB00054,Abciximab,biotech,"['BE0001155', 'BE0000439', 'BE0002098', 'BE0002099', 'BE0001068']",1,0,0,0,0,0
DB00055,Drotrecogin alfa,biotech,"['BE0000016', 'BE0000041', 'BE0000240', 'BE0001151', 'BE0000943', 'BE0000048', 'BE0001129', 'BE0002112', 'BE0002142', 'BE0001161']",1,0,0,1,0,1
DB00056,Gemtuzumab ozogamicin,biotech,"['BE0000674', 'BE0000901', 'BE0002097', 'BE0000710']",1,0,0,1,0,0
DB00058,Alpha-1-proteinase inhibitor,biotech,['BE0000394'],1,0,0,0,0,0
DB00060,Interferon beta-1a,biotech,"['BE0000661', 'BE0000385']",1,0,0,1,0,0
DB00061,Pegademase,biotech,['BE0000917'],1,0,0,0,0,0
DB00063,Eptifibatide,biotech,['BE0001155'],1,0,0,1,0,0
DB00065,Infliximab,biotech,['BE0000704'],1,0,0,0,0,0
DB00066,Follitropin,biotech,['BE0000387'],1,0,0,0,0,0
DB00067,Vasopressin,small molecule,"['BE0000293', 'BE0000165', 'BE0000773']",1,0,0,0,0,0
DB00068,Interferon beta-1b,biotech,"['BE0000661', 'BE0000385']",1,0,0,0,0,0
DB00069,Interferon alfacon-1,biotech,"['BE0000661', 'BE0000385']",1,0,0,1,0,0
DB00070,Hyaluronidase (ovine),biotech,['BE0000984'],1,0,0,1,0,0
DB00071,Insulin pork,biotech,"['BE0000033', 'BE0000858', 'BE0001183', 'BE0002122', 'BE0004466', 'BE0002123', 'BE0000941', 'BE0001123', 'BE0002124', 'BE0002125', 'BE0001147', 'BE0000942', 'BE0002126', 'BE0002127']",1,0,0,0,0,0
DB00072,Trastuzumab,biotech,['BE0000511'],1,0,0,1,0,0
DB00073,Rituximab,biotech,['BE0000066'],1,0,0,0,0,0
DB00074,Basiliximab,biotech,"['BE0000658', 'BE0000651']",1,0,0,1,0,0
DB00075,Muromonab,biotech,"['BE0003456', 'BE0000274', 'BE0003457', 'BE0003458', 'BE0000901']",1,0,0,1,0,0
DB00078,Ibritumomab tiuxetan,biotech,['BE0000066'],1,0,0,1,0,0
DB00081,Tositumomab,biotech,"['BE0000066', 'BE0002099']",1,0,0,1,0,0
DB00082,Pegvisomant,biotech,['BE0000075'],1,0,0,0,0,0
DB00083,Botulinum toxin type A,biotech,"['BE0000390', 'BE0003572']",1,0,0,1,0,0
DB00086,Streptokinase,biotech,"['BE0000211', 'BE0000928']",1,0,0,1,0,0
DB00087,Alemtuzumab,biotech,"['BE0000083', 'BE0000901', 'BE0002097', 'BE0000710', 'BE0002098', 'BE0002099', 'BE0002100']",1,0,0,1,0,0
DB00089,Capromab pendetide,biotech,['BE0000568'],1,0,0,0,0,0
DB00091,Cyclosporine,small molecule,"['BE0000379', 'BE0002143', 'BE0001014', 'BE0001399']",1,0,0,1,0,0
DB00092,Alefacept,biotech,"['BE0000719', 'BE0002097', 'BE0000901']",1,0,0,1,0,1
DB00093,Felypressin,small molecule,['BE0000165'],0,1,0,0,0,0
DB00094,Urofollitropin,biotech,['BE0000387'],1,0,0,0,0,0
DB00095,Efalizumab,biotech,"['BE0000516', 'BE0009967']",1,0,0,1,0,0
DB00097,Choriogonadotropin alfa,biotech,"['BE0000134', 'BE0000387']",1,0,0,0,0,0
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,"['BE0000598', 'BE0003573', 'BE0000516', 'BE0000846', 'BE0002099', 'BE0003488', 'BE0003575', 'BE0003576', 'BE0001155']",1,0,0,0,0,0
DB00099,Filgrastim,biotech,"['BE0000793', 'BE0000394']",1,0,0,0,0,0
DB00100,Coagulation Factor IX (Recombinant),biotech,"['BE0000216', 'BE0001021', 'BE0000333', 'BE0000016', 'BE0000048', 'BE0002110', 'BE0000403']",1,0,0,1,0,0
DB00102,Becaplermin,biotech,"['BE0000205', 'BE0000852', 'BE0000910']",1,0,0,1,0,0
DB00104,Octreotide,small molecule,[],1,0,0,1,0,0
DB00105,Interferon alfa-2b,biotech,"['BE0000385', 'BE0000661']",1,0,0,0,0,0
DB00106,Abarelix,small molecule,['BE0000203'],1,0,0,1,0,1
DB00107,Oxytocin,biotech,"['BE0000844', 'BE0000751']",1,0,0,0,0,0
DB00108,Natalizumab,biotech,"['BE0000590', 'BE0000901', 'BE0001085', 'BE0000710']",1,0,0,1,0,0
DB00109,Enfuvirtide,biotech,['BE0000398'],1,0,0,1,0,0
DB00110,Palivizumab,biotech,"['BE0000686', 'BE0000901', 'BE0002093', 'BE0002094', 'BE0002095', 'BE0002096', 'BE0002097', 'BE0000710', 'BE0002099']",1,0,0,1,0,0
DB00111,Daclizumab,biotech,"['BE0000658', 'BE0000651', 'BE0000901', 'BE0002093', 'BE0002094', 'BE0002095', 'BE0002096', 'BE0002097', 'BE0000710', 'BE0002098', 'BE0002099', 'BE0002100']",0,0,0,1,0,1
DB00112,Bevacizumab,biotech,"['BE0000163', 'BE0002094', 'BE0002095', 'BE0002096', 'BE0002097', 'BE0000710', 'BE0002098', 'BE0002099', 'BE0002100']",1,0,0,1,0,0
DB00113,Technetium Tc-99m arcitumomab,biotech,['BE0000107'],0,1,0,0,0,0
DB00114,Pyridoxal phosphate,small molecule,"['BE0000102', 'BE0000378', 'BE0000323', 'BE0000392', 'BE0000331', 'BE0000151', 'BE0000529', 'BE0000424', 'BE0000404', 'BE0000727', 'BE0000253', 'BE0000181', 'BE0000778', 'BE0000692', 'BE0000273', 'BE0000660', 'BE0000079', 'BE0000002', 'BE0000448', 'BE0000164', 'BE0000518', 'BE0000618', 'BE0000667', 'BE0000603', 'BE0000409', 'BE0000316', 'BE0000278', 'BE0000441', 'BE0000791', 'BE0000517', 'BE0000721', 'BE0002149', 'BE0000383', 'BE0002150', 'BE0000916', 'BE0002151', 'BE0002152', 'BE0002158', 'BE0002159', 'BE0002160', 'BE0002162', 'BE0002163', 'BE0004605', 'BE0004612', 'BE0002164', 'BE0002165', 'BE0000292', 'BE0000898', 'BE0002166', 'BE0002167', 'BE0002168', 'BE0000388', 'BE0002171', 'BE0002172', 'BE0002173', 'BE0002174']",1,0,0,1,1,0
DB00115,Cyanocobalamin,small molecule,"['BE0000734', 'BE0000777', 'BE0000763', 'BE0000320', 'BE0002175', 'BE0002176']",1,0,0,0,1,0
DB00116,Tetrahydrofolic acid,small molecule,"['BE0000617', 'BE0000268', 'BE0000010', 'BE0000933', 'BE0000734', 'BE0000822', 'BE0001240', 'BE0000331', 'BE0000292', 'BE0002176', 'BE0002177']",0,0,0,0,1,0
DB00117,Histidine,small molecule,"['BE0000002', 'BE0000740', 'BE0000285', 'BE0000086']",0,0,0,1,1,0
DB00118,Ademetionine,small molecule,"['BE0000372', 'BE0000101', 'BE0000304', 'BE0000323', 'BE0000407', 'BE0002089', 'BE0008997', 'BE0005015']",1,0,0,1,1,0
DB00119,Pyruvic acid,small molecule,"['BE0000449', 'BE0000178', 'BE0000102', 'BE0000386', 'BE0000046', 'BE0000174', 'BE0000440', 'BE0000098', 'BE0000088', 'BE0000253', 'BE0000195', 'BE0000361', 'BE0000669', 'BE0000698']",1,0,0,1,1,0
DB00120,Phenylalanine,small molecule,"['BE0000692', 'BE0000789', 'BE0000038', 'BE0000753', 'BE0000028', 'BE0000561', 'BE0000614']",1,0,0,1,1,0
DB00121,Biotin,small molecule,"['BE0000544', 'BE0000159', 'BE0000072', 'BE0000702', 'BE0000445', 'BE0000698', 'BE0000492', 'BE0000626']",1,0,0,1,1,0
DB00122,Choline,small molecule,"['BE0000494', 'BE0000426', 'BE0000615', 'BE0002179', 'BE0002180', 'BE0002181', 'BE0002186', 'BE0002341']",1,0,0,0,1,0
DB00123,L-Lysine,small molecule,"['BE0000212', 'BE0000052', 'BE0000136', 'BE0000562', 'BE0000198']",1,0,0,0,1,0
DB00125,Arginine,small molecule,"['BE0000263', 'BE0000136', 'BE0000448', 'BE0000520', 'BE0000005', 'BE0000212', 'BE0000758', 'BE0000052', 'BE0000671']",0,0,0,1,1,0
DB00126,Ascorbic acid,small molecule,"['BE0001225', 'BE0002192', 'BE0002117', 'BE0002195', 'BE0002197', 'BE0000138', 'BE0002200', 'BE0002202', 'BE0002206', 'BE0002208', 'BE0000060', 'BE0002210', 'BE0002203', 'BE0002205', 'BE0002213', 'BE0002215', 'BE0000087', 'BE0002221', 'BE0002223', 'BE0002217', 'BE0002211', 'BE0002219']",1,0,0,0,1,0
DB00127,Spermine,small molecule,"['BE0000964', 'BE0000566', 'BE0000404', 'BE0000509', 'BE0000172', 'BE0000694']",0,1,0,0,1,0
DB00128,Aspartic acid,small molecule,"['BE0003317', 'BE0003751', 'BE0000277', 'BE0000529', 'BE0000187', 'BE0000219', 'BE0000671', 'BE0000481', 'BE0000383', 'BE0000725', 'BE0000235', 'BE0000528', 'BE0002225', 'BE0002228', 'BE0001054', 'BE0000788', 'BE0002229', 'BE0002230', 'BE0009692']",1,0,0,0,1,0
DB00129,Ornithine,small molecule,"['BE0000424', 'BE0000306', 'BE0000286', 'BE0000371', 'BE0000212', 'BE0000562', 'BE0000258', 'BE0000758', 'BE0000201', 'BE0000347']",1,0,0,0,1,0
DB00130,L-Glutamine,small molecule,"['BE0000874', 'BE0000374', 'BE0002240']",1,0,0,1,1,0
DB00131,Adenosine phosphate,small molecule,"['BE0000958', 'BE0000487', 'BE0000254', 'BE0001473', 'BE0001287', 'BE0000350', 'BE0000677', 'BE0000269', 'BE0000639', 'BE0002431', 'BE0003540', 'BE0004907']",1,0,0,1,1,0
DB00132,alpha-Linolenic acid,small molecule,"['BE0000888', 'BE0002246', 'BE0000986', 'BE0001023', 'BE0000071', 'BE0001777', 'BE0001007', 'BE0000215', 'BE0000412', 'BE0009936', 'BE0009375']",1,0,0,1,1,0
DB00133,Serine,small molecule,"['BE0000323', 'BE0000164', 'BE0000388', 'BE0000660', 'BE0000441', 'BE0000063', 'BE0000316']",0,0,0,1,1,0
DB00134,Methionine,small molecule,"['BE0000763', 'BE0000734', 'BE0001534', 'BE0000845', 'BE0002249']",1,0,0,0,1,0
DB00135,Tyrosine,small molecule,"['BE0000614', 'BE0000363', 'BE0000230', 'BE0000692']",1,0,0,1,1,0
DB00136,Calcitriol,small molecule,"['BE0000779', 'BE0008987']",1,0,0,0,1,0
DB00138,Cystine,small molecule,"['BE0000030', 'BE0000035']",1,0,0,0,1,0
DB00139,Succinic acid,small molecule,"['BE0002258', 'BE0000152']",1,0,0,0,1,0
DB00140,Riboflavin,small molecule,"['BE0000370', 'BE0003327', 'BE0000595']",1,0,0,1,1,0
DB00141,N-Acetylglucosamine,small molecule,"['BE0000259', 'BE0002263', 'BE0002265', 'BE0002266', 'BE0000391', 'BE0000109']",1,0,0,1,1,0
DB00142,Glutamic acid,small molecule,"['BE0000824', 'BE0000833', 'BE0000827', 'BE0000828', 'BE0000834', 'BE0000835', 'BE0002267', 'BE0002268', 'BE0002235', 'BE0000721', 'BE0000396', 'BE0000825', 'BE0000383', 'BE0000188', 'BE0000219', 'BE0002240', 'BE0000529', 'BE0000692', 'BE0000667', 'BE0000403', 'BE0001115', 'BE0000884', 'BE0001054', 'BE0000166', 'BE0002270', 'BE0000755', 'BE0000321', 'BE0000517', 'BE0000253', 'BE0000365', 'BE0000700', 'BE0002271', 'BE0000760', 'BE0000417', 'BE0000454', 'BE0002152', 'BE0002272', 'BE0002244', 'BE0002274', 'BE0000727', 'BE0000641', 'BE0002166', 'BE0000073', 'BE0000003', 'BE0002277', 'BE0000030', 'BE0004640', 'BE0000603', 'BE0000180', 'BE0000346', 'BE0000640', 'BE0000606', 'BE0000568', 'BE0000602', 'BE0000378', 'BE0000822', 'BE0000829', 'BE0000831', 'BE0000830', 'BE0000823', 'BE0000826', 'BE0000832']",1,0,0,0,1,0
DB00143,Glutathione,small molecule,"['BE0002279', 'BE0001167', 'BE0002281', 'BE0002189', 'BE0002282', 'BE0002283', 'BE0000889', 'BE0001189', 'BE0002284', 'BE0001135', 'BE0002285', 'BE0002286', 'BE0001825', 'BE0002287', 'BE0002289', 'BE0002290', 'BE0002291', 'BE0002292', 'BE0000962', 'BE0001117', 'BE0000648', 'BE0000185', 'BE0000807', 'BE0000808', 'BE0000809', 'BE0000810', 'BE0000811', 'BE0000812', 'BE0000813', 'BE0000814', 'BE0000815', 'BE0000816', 'BE0000817', 'BE0000818', 'BE0000819', 'BE0000820', 'BE0000821', 'BE0000747', 'BE0000058', 'BE0002638', 'BE0009997']",1,0,0,1,1,0
DB00144,Phosphatidyl serine,small molecule,"['BE0002296', 'BE0002297', 'BE0002299', 'BE0002300', 'BE0002301', 'BE0001001', 'BE0001132', 'BE0001099', 'BE0000673', 'BE0000189']",1,0,0,1,1,0
DB00145,Glycine,small molecule,"['BE0000518', 'BE0000409', 'BE0000898', 'BE0000998', 'BE0000760', 'BE0002303', 'BE0002304', 'BE0000185', 'BE0000454', 'BE0002305', 'BE0000292', 'BE0002306', 'BE0002307', 'BE0000102', 'BE0002309', 'BE0000534', 'BE0000433', 'BE0000316', 'BE0000055', 'BE0000331', 'BE0000414', 'BE0000745', 'BE0000372', 'BE0000347']",1,0,0,0,1,0
DB00146,Calcifediol,small molecule,['BE0000779'],1,0,0,0,1,0
DB00147,Pyridoxal,small molecule,['BE0000042'],0,1,0,0,1,0
DB00148,Creatine,small molecule,"['BE0000714', 'BE0000171', 'BE0000082', 'BE0000410', 'BE0000375', 'BE0000567']",1,0,0,1,1,0
DB00149,Leucine,small molecule,"['BE0000204', 'BE0000721', 'BE0000517', 'BE0000613', 'BE0000450', 'BE0000769']",0,0,0,1,1,0
DB00150,Tryptophan,small molecule,"['BE0002311', 'BE0001343', 'BE0000228']",1,0,0,0,1,1
DB00151,Cysteine,small molecule,"['BE0000606', 'BE0000166', 'BE0000529', 'BE0000383', 'BE0000791', 'BE0000323', 'BE0000701', 'BE0001145', 'BE0000185', 'BE0002312', 'BE0000079', 'BE0000151', 'BE0000569']",1,0,0,0,1,0
DB00152,Thiamine,small molecule,['BE0000157'],1,0,0,1,1,0
DB00153,Ergocalciferol,small molecule,"['BE0000779', 'BE0004902']",1,0,0,0,1,0
DB00154,Dihomo-gamma-linolenic acid,small molecule,"['BE0000017', 'BE0000262']",0,0,0,1,1,0
DB00155,Citrulline,small molecule,"['BE0000671', 'BE0000608', 'BE0000788', 'BE0000766', 'BE0000306', 'BE0000067', 'BE0000005', 'BE0000263', 'BE0002313', 'BE0002314', 'BE0002315', 'BE0002316', 'BE0001092']",1,0,0,1,1,0
DB00156,Threonine,small molecule,"['BE0000234', 'BE0002317']",1,0,0,0,1,0
DB00157,NADH,small molecule,"['BE0000645', 'BE0000227', 'BE0000299', 'BE0000360', 'BE0000465', 'BE0000400', 'BE0000522', 'BE0000208', 'BE0000297', 'BE0000009', 'BE0000747', 'BE0000317', 'BE0000780', 'BE0000425', 'BE0000148', 'BE0000408', 'BE0000100', 'BE0000149', 'BE0000068', 'BE0000586', 'BE0000377', 'BE0000328', 'BE0000175', 'BE0000589', 'BE0000128', 'BE0000336', 'BE0000574', 'BE0000604', 'BE0000161', 'BE0000184', 'BE0000771', 'BE0000559', 'BE0000011', 'BE0000194', 'BE0000006', 'BE0000570', 'BE0000357', 'BE0000578', 'BE0000438', 'BE0000722', 'BE0000592', 'BE0000552', 'BE0000662', 'BE0000126', 'BE0000329', 'BE0000059', 'BE0000051', 'BE0000761', 'BE0000260', 'BE0000133', 'BE0000131', 'BE0000622', 'BE0000044', 'BE0000193', 'BE0000231', 'BE0000718', 'BE0000554', 'BE0000720', 'BE0000287', 'BE0000583', 'BE0000479', 'BE0000446', 'BE0000542', 'BE0000513', 'BE0000600', 'BE0000152', 'BE0000135', 'BE0000595', 'BE0000728', 'BE0000225', 'BE0000180', 'BE0000098', 'BE0000609', 'BE0000571', 'BE0000741', 'BE0000762', 'BE0000330', 'BE0000162', 'BE0000755', 'BE0000031', 'BE0000220', 'BE0000655', 'BE0000073', 'BE0000196', 'BE0000307', 'BE0000617', 'BE0000268', 'BE0000244', 'BE0000160', 'BE0000541', 'BE0000551', 'BE0000540', 'BE0000503', 'BE0000008', 'BE0000473', 'BE0000305', 'BE0000272', 'BE0000081', 'BE0000401', 'BE0000224', 'BE0000348', 'BE0000580', 'BE0000169', 'BE0000213', 'BE0000545', 'BE0000550', 'BE0000367', 'BE0000684', 'BE0000676', 'BE0000173', 'BE0000338', 'BE0000493', 'BE0000245', 'BE0000295', 'BE0000284', 'BE0000427', 'BE0000512', 'BE0000596', 'BE0000729', 'BE0000243', 'BE0000313', 'BE0000376', 'BE0000027', 'BE0000737', 'BE0000191', 'BE0000648', 'BE0000754', 'BE0000089', 'BE0000500', 'BE0000485', 'BE0000137', 'BE0000525', 'BE0000569', 'BE0000093', 'BE0000319', 'BE0000037', 'BE0000421', 'BE0000065', 'BE0000010', 'BE0000096', 'BE0000735', 'BE0000587', 'BE0000344', 'BE0000252']",1,0,0,0,1,0
DB00158,Folic acid,small molecule,"['BE0000652', 'BE0000271', 'BE0003405']",1,0,0,0,1,0
DB00159,Icosapent,small molecule,"['BE0000262', 'BE0000017', 'BE0000215', 'BE0001007', 'BE0000888', 'BE0000996', 'BE0000688', 'BE0000986', 'BE0001023', 'BE0000071']",1,0,0,0,1,0
DB00160,Alanine,small molecule,"['BE0000316', 'BE0000253', 'BE0000392', 'BE0002318', 'BE0002164', 'BE0002166', 'BE0000667', 'BE0000151', 'BE0000536', 'BE0000789', 'BE0000102', 'BE0000294', 'BE0000480']",0,0,0,0,1,0
DB00161,Valine,small molecule,"['BE0000544', 'BE0000517', 'BE0000223']",1,0,0,0,1,0
DB00162,Vitamin A,small molecule,"['BE0000726', 'BE0002319', 'BE0000583', 'BE0002320', 'BE0002321', 'BE0000032', 'BE0002322', 'BE0002323', 'BE0000900', 'BE0000570', 'BE0000593', 'BE0000513', 'BE0000554', 'BE0005056', 'BE0009878']",1,0,0,0,1,0
DB00163,Vitamin E,small molecule,"['BE0000956', 'BE0000872', 'BE0000248', 'BE0001132', 'BE0002324', 'BE0002325', 'BE0002326', 'BE0000076', 'BE0000339', 'BE0000256']",1,0,0,0,1,0
DB00165,Pyridoxine,small molecule,['BE0000042'],1,0,0,1,1,0
DB00166,Lipoic acid,small molecule,"['BE0000040', 'BE0002327', 'BE0000094']",1,0,0,1,1,0
DB00167,Isoleucine,small molecule,"['BE0002328', 'BE0000573', 'BE0000517', 'BE0000721', 'BE0000491']",0,0,0,1,1,0
DB00168,Aspartame,small molecule,"['BE0001023', 'BE0000395', 'BE0000582']",0,0,0,1,1,0
DB00169,Cholecalciferol,small molecule,['BE0000779'],1,0,0,0,1,0
DB00170,Menadione,small molecule,"['BE0000403', 'BE0000713', 'BE0002329', 'BE0000048', 'BE0000364', 'BE0000380', 'BE0000943', 'BE0000220', 'BE0001184', 'BE0000724']",1,0,0,0,1,0
DB00171,ATP,small molecule,"['BE0000435', 'BE0001032', 'BE0001168', 'BE0001069', 'BE0000119', 'BE0000350', 'BE0000359', 'BE0000202', 'BE0000677', 'BE0000434', 'BE0000459', 'BE0000639', 'BE0000261', 'BE0000750', 'BE0000469', 'BE0000428', 'BE0000341', 'BE0000310', 'BE0000746', 'BE0000665', 'BE0000264', 'BE0000703', 'BE0000219', 'BE0000437', 'BE0000599', 'BE0000207', 'BE0000671', 'BE0000139', 'BE0000018', 'BE0000675', 'BE0000772', 'BE0000014', 'BE0000269', 'BE0003640', 'BE0001188', 'BE0000785', 'BE0001195', 'BE0002379', 'BE0001209', 'BE0005435', 'BE0005499', 'BE0003160']",0,0,0,1,1,0
DB00172,Proline,small molecule,"['BE0002253', 'BE0002330', 'BE0002331', 'BE0002149', 'BE0000060', 'BE0002332', 'BE0001399', 'BE0002333', 'BE0001014', 'BE0002334', 'BE0002202', 'BE0002335', 'BE0002336', 'BE0002206', 'BE0002208', 'BE0004615', 'BE0002337', 'BE0000225', 'BE0000188', 'BE0000423', 'BE0000723', 'BE0000728']",0,0,0,0,1,0
DB00173,Adenine,small molecule,"['BE0000115', 'BE0002007', 'BE0000702', 'BE0003786', 'BE0002791', 'BE0002755', 'BE0002706', 'BE0004323', 'BE0002792', 'BE0001128', 'BE0001229']",1,0,0,0,1,0
DB00174,Asparagine,small molecule,"['BE0000236', 'BE0002230', 'BE0002338', 'BE0000219', 'BE0000607', 'BE0009976']",1,0,0,1,1,0
DB00175,Pravastatin,small molecule,"['BE0000574', 'BE0002366']",1,0,0,0,0,0
DB00176,Fluvoxamine,small molecule,"['BE0000749', 'BE0000090']",1,0,0,1,0,0
DB00177,Valsartan,small molecule,['BE0000062'],1,0,0,1,0,0
DB00178,Ramipril,small molecule,"['BE0000221', 'BE0005831']",1,0,0,0,0,0
DB00179,Masoprocol,small molecule,"['BE0000248', 'BE0000685']",1,0,0,1,0,0
DB00180,Flunisolide,small molecule,['BE0000794'],1,0,0,1,0,0
DB00181,Baclofen,small molecule,"['BE0000217', 'BE0002340']",1,0,0,0,0,0
DB00182,Amphetamine,small molecule,"['BE0000118', 'BE0000647', 'BE0000867', 'BE0001044', 'BE0000486', 'BE0004888', 'BE0004872', 'BE0000756', 'BE0002196', 'BE0000749', 'BE0004909', 'BE0008661']",1,0,1,1,0,0
DB00183,Pentagastrin,small molecule,['BE0001158'],1,0,0,0,0,0
DB00184,Nicotine,small molecule,"['BE0000849', 'BE0002341', 'BE0000850', 'BE0000738', 'BE0003585', 'BE0003586', 'BE0003587', 'BE0002343', 'BE0000411', 'BE0003588', 'BE0003584', 'BE0002090', 'BE0000519']",1,0,0,0,0,0
DB00185,Cevimeline,small molecule,"['BE0000045', 'BE0000092']",1,0,0,0,0,0
DB00186,Lorazepam,small molecule,"['BE0004797', 'BE0008668']",1,0,0,0,0,0
DB00187,Esmolol,small molecule,['BE0000172'],1,0,0,0,0,0
DB00188,Bortezomib,small molecule,"['BE0002348', 'BE0002347']",1,0,0,1,0,0
DB00189,Ethchlorvynol,small molecule,['BE0004797'],1,0,1,0,0,1
DB00190,Carbidopa,small molecule,['BE0002151'],1,0,0,0,0,0
DB00191,Phentermine,small molecule,"['BE0000486', 'BE0000749', 'BE0000647', 'BE0002198', 'BE0002196', 'BE0003476']",1,0,1,0,0,0
DB00192,Indecainide,small molecule,['BE0000197'],1,0,0,0,0,0
